"trace_id","activities","employed","age","income","g"
"0","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"0","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"0","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"0","activity_01","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"1","activity_01","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"1","activity_02","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"1","activity_03","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"1","activity_07","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"2","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"2","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"2","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"2","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"3","activity_01","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"3","activity_02","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"3","activity_03","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"3","activity_07","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"4","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"4","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"4","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"4","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"5","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"5","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"5","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"5","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"6","activity_01","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"6","activity_02","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"6","activity_03","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"6","activity_07","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"7","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"7","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"7","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"7","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"8","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"8","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"8","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"8","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"9","activity_01","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"9","activity_02","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"9","activity_03","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"9","activity_07","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"10","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"10","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"10","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"10","activity_01","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"11","noise_3","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"11","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"11","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"11","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"11","activity_01","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"12","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"12","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"12","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"12","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"13","activity_04","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"13","activity_01","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"13","activity_02","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"13","activity_03","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"13","activity_04","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"14","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"14","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"14","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"14","activity_01","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"15","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"15","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"15","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"15","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"16","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"16","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"16","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"16","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"17","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"17","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"17","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"17","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"18","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"18","noise_1","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"18","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"18","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"19","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"19","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"19","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"19","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"20","activity_03","yes","40-59yo","low","activity_03,activity_01,activity_03,activity_05"
"20","activity_01","yes","40-59yo","low","activity_03,activity_01,activity_03,activity_05"
"20","activity_03","yes","40-59yo","low","activity_03,activity_01,activity_03,activity_05"
"20","activity_05","yes","40-59yo","low","activity_03,activity_01,activity_03,activity_05"
"21","activity_01","yes","60-79yo","high","activity_01,activity_02,activity_03,activity_07"
"21","activity_02","yes","60-79yo","high","activity_01,activity_02,activity_03,activity_07"
"21","activity_03","yes","60-79yo","high","activity_01,activity_02,activity_03,activity_07"
"21","activity_07","yes","60-79yo","high","activity_01,activity_02,activity_03,activity_07"
"22","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"22","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"22","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"22","activity_01","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"23","activity_04","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"23","activity_01","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"23","activity_02","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"23","activity_03","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"23","activity_04","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"24","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"24","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"24","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"24","activity_01","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"25","activity_03","yes","80yo+","high","activity_03,activity_01,activity_03,activity_05"
"25","activity_01","yes","80yo+","high","activity_03,activity_01,activity_03,activity_05"
"25","activity_03","yes","80yo+","high","activity_03,activity_01,activity_03,activity_05"
"25","activity_05","yes","80yo+","high","activity_03,activity_01,activity_03,activity_05"
"26","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
