"trace_id","activities","employed","age","income","g"
"0","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"0","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"0","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"0","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"1","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"1","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"1","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"1","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"2","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"2","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"2","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"2","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"3","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"3","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"3","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"3","activity_01","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"4","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"4","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"4","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"4","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"5","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"5","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"5","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"5","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"6","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"6","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"6","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"6","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"7","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"7","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"7","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"7","activity_01","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"8","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"8","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"8","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"8","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"9","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"9","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"9","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"9","activity_01","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"10","activity_04","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"10","activity_01","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"10","activity_02","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"10","activity_03","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"10","activity_04","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"11","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"11","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"11","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
