"trace_id","activities","employed","age","income","g"
"0","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"0","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"0","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"0","activity_01","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"1","activity_05","no","40-59yo","middle","activity_05,activity_02,activity_04,activity_01"
"1","activity_04","no","40-59yo","middle","activity_05,activity_02,activity_04,activity_01"
"1","activity_01","no","40-59yo","middle","activity_05,activity_02,activity_04,activity_01"
"2","activity_05","yes","20-39yo","low","activity_03,activity_01,activity_03,activity_05"
"2","activity_03","yes","20-39yo","low","activity_03,activity_01,activity_03,activity_05"
"3","activity_04","yes","0-19yo","low","activity_05,activity_02,activity_04,activity_01"
"3","activity_02","yes","0-19yo","low","activity_05,activity_02,activity_04,activity_01"
"3","noise_3","yes","0-19yo","low","activity_05,activity_02,activity_04,activity_01"
"3","activity_01","yes","0-19yo","low","activity_05,activity_02,activity_04,activity_01"
"3","activity_05","yes","0-19yo","low","activity_05,activity_02,activity_04,activity_01"
"4","activity_03","no","20-39yo","high","activity_03,activity_01,activity_03,activity_05"
"4","activity_01","no","20-39yo","high","activity_03,activity_01,activity_03,activity_05"
"4","activity_03","no","20-39yo","high","activity_03,activity_01,activity_03,activity_05"
"4","activity_05","no","20-39yo","high","activity_03,activity_01,activity_03,activity_05"
"5","activity_03","yes","60-79yo","middle","activity_03,activity_01,activity_03,activity_05"
"5","activity_01","yes","60-79yo","middle","activity_03,activity_01,activity_03,activity_05"
"5","activity_03","yes","60-79yo","middle","activity_03,activity_01,activity_03,activity_05"
"5","activity_05","yes","60-79yo","middle","activity_03,activity_01,activity_03,activity_05"
"6","activity_03","yes","20-39yo","low","activity_03,activity_01,activity_03,activity_05"
"6","noise_3","yes","20-39yo","low","activity_03,activity_01,activity_03,activity_05"
"6","activity_05","yes","20-39yo","low","activity_03,activity_01,activity_03,activity_05"
"7","activity_01","no","80yo+","low","activity_03,activity_01,activity_03,activity_05"
"7","activity_03","no","80yo+","low","activity_03,activity_01,activity_03,activity_05"
"7","activity_05","no","80yo+","low","activity_03,activity_01,activity_03,activity_05"
"7","noise_3","no","80yo+","low","activity_03,activity_01,activity_03,activity_05"
"7","activity_03","no","80yo+","low","activity_03,activity_01,activity_03,activity_05"
"8","activity_03","yes","0-19yo","middle","activity_03,activity_01,activity_03,activity_05"
"8","activity_01","yes","0-19yo","middle","activity_03,activity_01,activity_03,activity_05"
"8","activity_03","yes","0-19yo","middle","activity_03,activity_01,activity_03,activity_05"
"8","activity_05","yes","0-19yo","middle","activity_03,activity_01,activity_03,activity_05"
"9","activity_01","no","20-39yo","low","activity_01,activity_02,activity_03,activity_07"
"9","activity_03","no","20-39yo","low","activity_01,activity_02,activity_03,activity_07"
"9","activity_02","no","20-39yo","low","activity_01,activity_02,activity_03,activity_07"
"10","activity_04","yes","80yo+","low","activity_04,activity_01,activity_02,activity_03,activity_04"
"10","activity_01","yes","80yo+","low","activity_04,activity_01,activity_02,activity_03,activity_04"
"10","activity_02","yes","80yo+","low","activity_04,activity_01,activity_02,activity_03,activity_04"
"10","activity_03","yes","80yo+","low","activity_04,activity_01,activity_02,activity_03,activity_04"
"10","noise_4","yes","80yo+","low","activity_04,activity_01,activity_02,activity_03,activity_04"
"10","activity_04","yes","80yo+","low","activity_04,activity_01,activity_02,activity_03,activity_04"
"11","noise_3","yes","40-59yo","high","activity_05,activity_02,activity_04,activity_01"
"11","activity_05","yes","40-59yo","high","activity_05,activity_02,activity_04,activity_01"
"11","activity_04","yes","40-59yo","high","activity_05,activity_02,activity_04,activity_01"
"12","noise_3","no","80yo+","middle","activity_05,activity_02,activity_04,activity_01"
"12","noise_0","no","80yo+","middle","activity_05,activity_02,activity_04,activity_01"
"12","activity_04","no","80yo+","middle","activity_05,activity_02,activity_04,activity_01"
"13","activity_01","no","40-59yo","high","activity_03,activity_01,activity_03,activity_05"
"13","noise_4","no","40-59yo","high","activity_03,activity_01,activity_03,activity_05"
"13","activity_03","no","40-59yo","high","activity_03,activity_01,activity_03,activity_05"
"14","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"14","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"14","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"14","noise_1","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"14","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"14","activity_01","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"15","activity_03","yes","20-39yo","middle","activity_03,activity_01,activity_03,activity_05"
"15","noise_3","yes","20-39yo","middle","activity_03,activity_01,activity_03,activity_05"
"15","activity_01","yes","20-39yo","middle","activity_03,activity_01,activity_03,activity_05"
"15","activity_05","yes","20-39yo","middle","activity_03,activity_01,activity_03,activity_05"
