"trace_id","activities","employed","age","income","g"
"0","activity_04","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"0","activity_01","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"0","activity_02","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"0","activity_03","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"0","activity_04","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"1","activity_03","yes","80yo+","high","activity_03,activity_01,activity_03,activity_05"
"1","activity_03","yes","80yo+","high","activity_03,activity_01,activity_03,activity_05"
"1","activity_01","yes","80yo+","high","activity_03,activity_01,activity_03,activity_05"
"1","activity_05","yes","80yo+","high","activity_03,activity_01,activity_03,activity_05"
"2","activity_04","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"2","activity_01","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"2","activity_02","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"2","activity_03","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"2","activity_04","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"3","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"3","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"3","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"3","activity_01","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"4","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"4","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"4","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"4","activity_01","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"5","activity_01","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"5","activity_02","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"5","activity_07","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"6","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"6","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"6","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"6","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"7","activity_02","yes","0-19yo","high","activity_05,activity_02,activity_04,activity_01"
"8","activity_01","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"8","activity_02","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"8","activity_03","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"8","activity_07","yes","0-19yo","low","activity_01,activity_02,activity_03,activity_07"
"9","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"9","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"9","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"10","noise_1","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"10","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"10","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"10","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"11","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"11","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"11","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"11","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"12","activity_02","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"12","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"12","activity_04","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"12","activity_05","no","60-79yo","high","activity_05,activity_02,activity_04,activity_01"
"13","activity_05","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"13","activity_01","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"13","activity_03","no","80yo+","middle","activity_03,activity_01,activity_03,activity_05"
"14","activity_04","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
"14","activity_01","yes","40-59yo","middle","activity_04,activity_01,activity_02,activity_03,activity_04"
